| TITLE | Sample Bar Chart 194 <0x0A> Categories | Values <0x0A> A | 21.19 <0x0A> B | 49.30 <0x0A> C | 83.28 <0x0A> D | 98.37 <0x0A> E | 56.25   |
| TITLE | Sample Bar Chart 191 <0x0A> Categories | Values <0x0A> A | 46 <0x0A> B | 93 <0x0A> C | 6 <0x0A> D | 83 <0x0A> E | 21   |
| TITLE | Sample Bar Chart 197 <0x0A> Categories | Values <0x0A> A | 21 <0x0A> B | 52 <0x0A> C | 14 <0x0A> D | 90 <0x0A> E | 72   |
| TITLE | Sample Bar Chart 157 <0x0A> Categories | Values <0x0A> A | 10 <0x0A> B | 81 <0x0A> C | 13 <0x0A> D | 31 <0x0A> E | 25   |
| TITLE | Sample Bar Chart 161 <0x0A> Categories | Values <0x0A> A | 46.161 <0x0A> B | 77.103 <0x0A> C | 63.195 <0x0A> D | 71.008 <0x0A> E | 9.285   |
| TITLE | Sample Bar Chart 162 <0x0A> Categories | Values <0x0A> A | 38 <0x0A> B | 58 <0x0A> C | 51 <0x0A> D | 3 <0x0A> E | 72   |
| TITLE | Sample Bar Chart 163 <0x0A> Categories | Values <0x0A> A | 76 <0x0A> B | 11 <0x0A> C | 58 <0x0A> D | 86 <0x0A> E | 7   |
| TITLE | Sample Bar Chart 165 <0x0A> Categories | Values <0x0A> A | 32 <0x0A> B | 70 <0x0A> C | 8 <0x0A> D | 69 <0x0A> E | 3   |
| TITLE | Sample Bar Chart 166 <0x0A> Categories | Values <0x0A> A | 27 <0x0A> B | 61 <0x0A> C | 76 <0x0A> D | 65 <0x0A> E | 76   |
| TITLE | Sample Bar Chart 164 <0x0A> Categories | Values <0x0A> A | 68 <0x0A> B | 5 <0x0A> C | 53 <0x0A> D | 29 <0x0A> E | 37   |
| TITLE | Sample Bar Chart 170 <0x0A> Categories | Values <0x0A> A | 95 <0x0A> B | 38 <0x0A> C | 99 <0x0A> D | 35 <0x0A> E | 89   |
| TITLE | Sample Bar Chart 169 <0x0A> Categories | Values <0x0A> A | 32 <0x0A> B | 53 <0x0A> C | 45 <0x0A> D | 79 <0x0A> E | 14   |
| TITLE | Sample Bar Chart 168 <0x0A> Categories | Values <0x0A> A | 66 <0x0A> B | 23 <0x0A> C | 9 <0x0A> D | 31 <0x0A> E | 11   |
| TITLE | Sample Bar Chart 167 <0x0A> Categories | Values <0x0A> A | 82 <0x0A> B | 28 <0x0A> C | 50 <0x0A> D | 54 <0x0A> E | 61   |
| TITLE | Sample Bar Chart 171 <0x0A> Categories | Values <0x0A> A | 62.56 <0x0A> B | 26.28 <0x0A> C | 6.26 <0x0A> D | 92.92 <0x0A> E | 12.31   |
| TITLE | Sample Bar Chart 172 <0x0A> Categories | Values <0x0A> A | 14.56 <0x0A> B | 91.86 <0x0A> C | 69.39 <0x0A> D | 21.23 <0x0A> E | 91.86   |
| TITLE | Sample Bar Chart 173 <0x0A> Categories | Values <0x0A> A | 33.28 <0x0A> B | 33.28 <0x0A> C | 22.24 <0x0A> D | 66.25 <0x0A> E | 91.7   |
| TITLE | Sample Bar Chart 175 <0x0A> Categories | Values <0x0A> A | 63 <0x0A> B | 61 <0x0A> C | 37 <0x0A> D | 23 <0x0A> E | 96   |
| TITLE | Sample Bar Chart 176 <0x0A> Categories | Values <0x0A> A | 73 <0x0A> B | 63 <0x0A> C | 46 <0x0A> D | 86 <0x0A> E | 86   |
| TITLE | Sample Bar Chart 174 <0x0A> Categories | Values <0x0A> A | 57 <0x0A> B | 65 <0x0A> C | 58 <0x0A> D | 31 <0x0A> E | 54   |
| TITLE | Sample Bar Chart 178 <0x0A> Categories | Values <0x0A> A | 47 <0x0A> B | 42 <0x0A> C | 65 <0x0A> D | 80 <0x0A> E | 40   |
| TITLE | Sample Bar Chart 179 <0x0A> Categories | Values <0x0A> A | 46.20 <0x0A> B | 94.04 <0x0A> C | 90.15 <0x0A> D | 90.20 <0x0A> E | 22.43   |
| TITLE | Sample Bar Chart 180 <0x0A> Categories | Values <0x0A> A | 61 <0x0A> B | 7 <0x0A> C | 50 <0x0A> D | 22 <0x0A> E | 19   |
| TITLE | Sample Bar Chart 177 <0x0A> Categories | Values <0x0A> A | 49.20 <0x0A> B | 53.25 <0x0A> C | 86.25 <0x0A> D | 20.25 <0x0A> E | 72.25   |
| TITLE | Sample Bar Chart 181 <0x0A> Categories | Values <0x0A> A | 2 <0x0A> B | 16 <0x0A> C | 58 <0x0A> D | 19 <0x0A> E | 94   |
| TITLE | Sample Bar Chart 182 <0x0A> Categories | Values <0x0A> A | 26 <0x0A> B | 20 <0x0A> C | 4 <0x0A> D | 39 <0x0A> E | 99   |
| TITLE | Sample Bar Chart 183 <0x0A> Categories | Values <0x0A> A | 33 <0x0A> B | 9 <0x0A> C | 8 <0x0A> D | 48 <0x0A> E | 37   |
| TITLE | Sample Bar Chart 185 <0x0A> Categories | Values <0x0A> A | 81.20 <0x0A> B | 16.28 <0x0A> C | 3.28 <0x0A> D | 97.24 <0x0A> E | 73.25   |
| TITLE | Sample Bar Chart 184 <0x0A> Categories | Values <0x0A> A | 18.282 <0x0A> B | 54.422 <0x0A> C | 83.332 <0x0A> D | 94.080 <0x0A> E | 73.558   |
| TITLE | Sample Bar Chart 186 <0x0A> Categories | Values <0x0A> A | 9.56 <0x0A> B | 72.06 <0x0A> C | 70.22 <0x0A> D | 66.25 <0x0A> E | 12.30   |
| TITLE | Sample Bar Chart 188 <0x0A> Categories | Values <0x0A> A | 80.20 <0x0A> B | 95.90 <0x0A> C | 68.54 <0x0A> D | 38.46 <0x0A> E | 75.30   |
| TITLE | Sample Bar Chart 190 <0x0A> Categories | Values <0x0A> A | 62 <0x0A> B | 47 <0x0A> C | 77 <0x0A> D | 22 <0x0A> E | 35   |
| TITLE | Sample Bar Chart 189 <0x0A> Categories | Values <0x0A> A | 49.30 <0x0A> B | 75.20 <0x0A> C | 2.20 <0x0A> D | 25.20 <0x0A> E | 12.20   |
| TITLE | Sample Bar Chart 187 <0x0A> Categories | Values <0x0A> A | 93 <0x0A> B | 8 <0x0A> C | 29 <0x0A> D | 74 <0x0A> E | 72   |
